table_name	ordinal_position	column_name	data_type	char_len	num_precision	num_scale	is_nullable	column_default
corpus_assessment	1	id	uuid				NO	gen_random_uuid()
corpus_assessment	2	company_id	uuid				NO	
corpus_assessment	3	framework_version_id	uuid				NO	
corpus_assessment	4	name	text				NO	
corpus_assessment	5	scope_notes	text				YES	
corpus_assessment	6	status_id	smallint		16	0	NO	
corpus_assessment	7	created_at	timestamp with time zone				NO	now()
corpus_assessment	8	created_by	text				YES	
corpus_audit_log	1	id	bigint		64	0	NO	nextval('corpus.corpus_audit_log_id_seq'::regclass)
corpus_audit_log	2	tenant_id	uuid				YES	
corpus_audit_log	3	entity_name	text				NO	
corpus_audit_log	4	entity_id	uuid				NO	
corpus_audit_log	5	action	text				NO	
corpus_audit_log	6	old_data	jsonb				YES	
corpus_audit_log	7	new_data	jsonb				YES	
corpus_audit_log	8	changed_by	uuid				YES	
corpus_audit_log	9	changed_at	timestamp with time zone				YES	CURRENT_TIMESTAMP
corpus_audit_log	10	ip_address	text				YES	
corpus_audit_log	11	user_agent	text				YES	
corpus_catalog_control_automation	1	id	smallint		16	0	NO	
corpus_catalog_control_automation	2	code	text				NO	
corpus_catalog_control_frequency	1	id	smallint		16	0	NO	
corpus_catalog_control_frequency	2	code	text				NO	
corpus_catalog_control_type	1	id	smallint		16	0	NO	
corpus_catalog_control_type	2	code	text				NO	
corpus_catalog_criticality	1	id	smallint		16	0	NO	
corpus_catalog_criticality	2	code	text				NO	
corpus_catalog_criticality	3	name	text				NO	
corpus_catalog_criticality	4	description	text				YES	
corpus_catalog_criticality	5	sort_order	integer		32	0	NO	0
corpus_catalog_criticality	6	is_active	boolean				NO	true
corpus_catalog_evidence_strength	1	id	smallint		16	0	NO	
corpus_catalog_evidence_strength	2	code	text				NO	
corpus_catalog_evidence_strength	3	name	text				NO	
corpus_catalog_evidence_strength	4	description	text				YES	
corpus_catalog_evidence_strength	5	sort_order	integer		32	0	NO	0
corpus_catalog_evidence_strength	6	is_active	boolean				NO	true
corpus_catalog_obligation_type	1	id	smallint		16	0	NO	nextval('corpus.corpus_catalog_obligation_type_id_seq'::regclass)
corpus_catalog_obligation_type	2	code	text				NO	
corpus_catalog_obligation_type	3	name	text				NO	
corpus_catalog_obligation_type	4	description	text				YES	
corpus_catalog_obligation_type	5	sort_order	integer		32	0	NO	0
corpus_catalog_obligation_type	6	is_active	boolean				NO	true
corpus_catalog_risk_layer	1	id	smallint		16	0	NO	nextval('corpus.corpus_catalog_risk_layer_id_seq'::regclass)
corpus_catalog_risk_layer	2	code	text				NO	
corpus_catalog_risk_layer	3	name	text				NO	
corpus_catalog_risk_layer	4	description	text				YES	
corpus_catalog_risk_layer	5	sort_order	integer		32	0	NO	0
corpus_catalog_risk_layer	6	is_active	boolean				NO	true
corpus_catalog_risk_type	1	id	smallint		16	0	NO	nextval('corpus.corpus_catalog_risk_type_id_seq'::regclass)
corpus_catalog_risk_type	2	code	text				NO	
corpus_catalog_risk_type	3	name	text				NO	
corpus_catalog_risk_type	4	sort_order	integer		32	0	NO	0
corpus_catalog_risk_type	5	is_active	boolean				NO	true
corpus_catalog_source_type	1	id	smallint		16	0	NO	nextval('corpus.corpus_catalog_source_type_id_seq'::regclass)
corpus_catalog_source_type	2	code	text				NO	
corpus_catalog_source_type	3	name	text				NO	
corpus_catalog_source_type	4	sort_order	integer		32	0	NO	0
corpus_catalog_source_type	5	is_active	boolean				NO	true
corpus_catalog_status	1	id	smallint		16	0	NO	nextval('corpus.corpus_catalog_status_id_seq'::regclass)
corpus_catalog_status	2	code	text				NO	
corpus_catalog_status	3	name	text				NO	
corpus_catalog_status	4	sort_order	integer		32	0	NO	0
corpus_catalog_status	5	is_active	boolean				NO	true
corpus_catalog_test_method	1	id	smallint		16	0	NO	nextval('corpus.corpus_catalog_test_method_id_seq'::regclass)
corpus_catalog_test_method	2	code	text				NO	
corpus_catalog_test_method	3	name	text				NO	
corpus_catalog_test_method	4	sort_order	integer		32	0	NO	0
